period_number,period_s,period_error_s,period_error_ns
0,3.333973895725331e-05,3.913019627736097e-09,3.9130196277360967
1,3.334310914886174e-05,7.2832112361622065e-09,7.283211236162207
2,3.3336519698912506e-05,6.937612869302662e-10,0.6937612869302662
3,3.334070376931342e-05,4.877831687841888e-09,4.877831687841888
4,3.3336496915954694e-05,6.709783291182709e-10,0.6709783291182708
5,3.334000476914664e-05,4.178831521065734e-09,4.178831521065734
6,3.3335846160604046e-05,2.022297847031288e-11,0.02022297847031288
7,3.3339652990278454e-05,3.82705265287791e-09,3.8270526528779096
8,3.3335639089974306e-05,-1.8684765126992294e-10,-0.18684765126992295
9,3.3338982209502044e-05,3.1562718764678805e-09,3.1562718764678803
10,3.33339863618394e-05,-1.8395757861742806e-09,-1.8395757861742805
11,3.3338401703251336e-05,2.5757656257598344e-09,2.5757656257598343
12,3.333580081553433e-05,-2.5122091242674692e-11,-0.025122091242674692
13,3.3339264374179084e-05,3.4384365535080003e-09,3.438436553508
14,3.3335063339643214e-05,-7.625979823615075e-10,-0.7625979823615076
15,3.3339216897951274e-05,3.3909603256977944e-09,3.3909603256977943
16,3.3335815869107305e-05,-1.0068518271184011e-11,-0.010068518271184011
17,3.3337394751727437e-05,1.5688141018606544e-09,1.5688141018606545
18,3.3333715756860005e-05,-2.110180765570852e-09,-2.110180765570852
19,3.3336325037099795e-05,4.990994742194938e-10,0.4990994742194938
20,3.333343532584826e-05,-2.3906117773163154e-09,-2.3906117773163156
21,3.3336103953344326e-05,2.780157187500182e-10,0.27801571875001824
22,3.3333466778855125e-05,-2.359158770450626e-09,-2.3591587704506263
23,3.333514388808266e-05,-6.820495429153478e-10,-0.6820495429153478
24,3.333150260765791e-05,-4.323329967666884e-09,-4.323329967666884
25,3.333550476706387e-05,-3.211705617032828e-10,-0.3211705617032828
26,3.333206024307665e-05,-3.765694548923232e-09,-3.7656945489232325
27,3.3336423744366114e-05,5.978067405383808e-10,0.5978067405383808
28,3.333147153384078e-05,-4.3544037847974065e-09,-4.354403784797406
29,3.333570652679953e-05,-1.1941082604866645e-10,-0.11941082604866646
30,3.333245381139521e-05,-3.3721262303630433e-09,-3.3721262303630435
31,3.333591595785709e-05,9.002023151699016e-11,0.09002023151699015
32,3.333387698457174e-05,-1.9489530538339744e-09,-1.9489530538339743
33,3.3336573495445707e-05,7.475578201306338e-10,0.7475578201306338
34,3.333368717729247e-05,-2.1387603331028465e-09,-2.1387603331028466
35,3.333653300630415e-05,7.070686785772213e-10,0.7070686785772212
36,3.3333668898903254e-05,-2.1570387223217085e-09,-2.1570387223217087
37,3.3336664844773115e-05,8.389071475385862e-10,0.8389071475385862
38,3.333343594788714e-05,-2.389989738437576e-09,-2.3899897384375763
39,3.33372125928353e-05,1.3866552097237467e-09,1.3866552097237468
40,3.3334108751399694e-05,-1.7171862258823006e-09,-1.7171862258823005
41,3.333777489836903e-05,1.9489607434565676e-09,1.9489607434565677
42,3.3332106453834096e-05,-3.7194837914804107e-09,-3.719483791480411
43,3.333478332431285e-05,-1.0426133127287634e-09,-1.0426133127287633
44,3.332931705253735e-05,-6.508885088229283e-09,-6.508885088229283
45,3.333304199272698e-05,-2.7839448985981846e-09,-2.7839448985981847
46,3.3326763462983994e-05,-9.062474641582225e-09,-9.062474641582225
47,3.333172067092327e-05,-4.105266702305438e-09,-4.105266702305438
48,3.3327226985620934e-05,-8.598952004642397e-09,-8.598952004642397
49,3.3334279687616264e-05,-1.5462500093120285e-09,-1.5462500093120284
50,3.3332441717173755e-05,-3.3842204518206914e-09,-3.3842204518206915
51,3.3339342614256695e-05,3.5166766311191472e-09,3.516676631119147
52,3.333782535333216e-05,1.9994157065807367e-09,1.9994157065807368
53,3.3343415915038435e-05,7.58997741285921e-09,7.589977412859211
54,3.3341239184246294e-05,5.413246620717565e-09,5.413246620717565
55,3.334327011007658e-05,7.444172451005087e-09,7.4441724510050875
56,3.3335213130437566e-05,-6.128071880099955e-10,-0.6128071880099956
57,3.333593183397175e-05,1.0589634617602043e-10,0.10589634617602042
58,3.3327946666847005e-05,-7.879270778570597e-09,-7.879270778570596
59,3.3330658218224535e-05,-5.167719401041166e-09,-5.167719401041166
60,3.3324584707611696e-05,-1.1241230013880172e-08,-11.241230013880172
61,3.3327633825051134e-05,-8.19211257444203e-09,-8.19211257444203
62,3.332243815732695e-05,-1.3387780298623037e-08,-13.387780298623037
63,3.332842542846069e-05,-7.400509164883612e-09,-7.400509164883612
64,3.33268842731306e-05,-8.941664494973417e-09,-8.941664494973418
65,3.333587026420684e-05,4.432658126456938e-11,0.04432658126456938
66,3.333642526716016e-05,5.99329534582021e-10,0.599329534582021
67,3.3343997656870225e-05,8.17171924464915e-09,8.17171924464915
68,3.334419902269528e-05,8.373085069705182e-09,8.373085069705182
69,3.334826041250134e-05,1.2434474875767259e-08,12.43447487576726
70,3.334305970972319e-05,7.23377209761527e-09,7.233772097615271
71,3.334396528184916e-05,8.139344223582362e-09,8.139344223582361
72,3.333650307261668e-05,6.771349911040498e-10,0.6771349911040497
73,3.333729340741949e-05,1.4674697939150378e-09,1.4674697939150378
74,3.333107763196612e-05,-4.748305659457003e-09,-4.748305659457003
75,3.333387816068997e-05,-1.9477769356033908e-09,-1.9477769356033907
76,3.332738898766639e-05,-8.436949959183377e-09,-8.436949959183377
77,3.333102465516956e-05,-4.801282456017692e-09,-4.801282456017692
78,3.33247998793966e-05,-1.1026058228976571e-08,-11.026058228976572
79,3.332953053761245e-05,-6.295400013125291e-09,-6.295400013125291
80,3.3324864571891016e-05,-1.0961365734559587e-08,-10.961365734559587
81,3.33286765996435e-05,-7.149337982072907e-09,-7.149337982072907
82,3.332463178849429e-05,-1.1194149131284865e-08,-11.194149131284865
83,3.332979318256338e-05,-6.03275506219842e-09,-6.03275506219842
84,3.332659633167867e-05,-9.229605946905312e-09,-9.229605946905313
85,3.333332825269583e-05,-2.4976849297440656e-09,-2.4976849297440658
86,3.3332393874013766e-05,-3.432063611809983e-09,-3.432063611809983
87,3.334000991961697e-05,4.183981991393742e-09,4.183981991393742
88,3.333864446093335e-05,2.818523307771708e-09,2.818523307771708
89,3.334442291613032e-05,8.596978504746993e-09,8.596978504746993
90,3.33420911376274e-05,6.265200001823895e-09,6.265200001823895
91,3.334491450504573e-05,9.088567420154786e-09,9.088567420154785
92,3.3339379584437084e-05,3.5536468115084313e-09,3.553646811508431
93,3.334188454781964e-05,6.058610194063113e-09,6.058610194063113
94,3.3336184253288104e-05,3.5831566252769124e-10,0.35831566252769126
95,3.3338802149167346e-05,2.976211541769907e-09,2.976211541769907
96,3.333249424420509e-05,-3.331693420485066e-09,-3.3316934204850663
97,3.333682646684821e-05,1.000529222636875e-09,1.0005292226368752
98,3.3331041631255026e-05,-4.7843063705497796e-09,-4.784306370549779
99,3.3334288890508185e-05,-1.537047117391283e-09,-1.537047117391283
100,3.3329974807771306e-05,-5.8511298542694495e-09,-5.851129854269449
101,3.333470440639377e-05,-1.1215312318034248e-09,-1.1215312318034247
102,3.332922937268612e-05,-6.5965649394559905e-09,-6.59656493945599
103,3.333328199031649e-05,-2.5439473090880854e-09,-2.5439473090880855
104,3.3329070711008574e-05,-6.755226617002181e-09,-6.75522661700218
105,3.333283309385135e-05,-2.992843774226434e-09,-2.992843774226434
106,3.3328849386799614e-05,-6.976550825962108e-09,-6.976550825962108
107,3.3332959962720926e-05,-2.8659749046498545e-09,-2.8659749046498546
