edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_µs
0,0.013032227773031506,0.013032651817912482,-4.240448809769699e-07,-0.4240448809769699
1,0.013065567511988759,0.013065987643850108,-4.201318613498979e-07,-0.4201318613498979
2,0.01309891062113762,0.013099323469787733,-4.1284865011266504e-07,-0.412848650112665
3,0.013132247140836533,0.013132659295725359,-4.1215488882639885e-07,-0.41215488882639884
4,0.013165587844605846,0.013165995121662983,-4.072770571374863e-07,-0.4072770571374863
5,0.013198924341521801,0.01319933094760061,-4.066060788090321e-07,-0.4066060788090321
6,0.013232264346290948,0.013232666773538236,-4.0242724728863045e-07,-0.40242724728863044
7,0.013265600192451552,0.01326600259947586,-4.024070243090895e-07,-0.4024070243090895
8,0.01329893984544183,0.013299338425413487,-3.9857997165687565e-07,-0.39857997165687564
9,0.013332275484531805,0.013332674251351113,-3.9876681930880965e-07,-0.39876681930880964
10,0.013365614466741307,0.013366010077288737,-3.956105474312711e-07,-0.3956105474312711
11,0.013398948453103146,0.013399345903226363,-3.9745012321810947e-07,-0.39745012321810946
12,0.013432286854806397,0.013432681729163988,-3.94874357591279e-07,-0.394874357591279
13,0.013465622655621932,0.013466017555101614,-3.9489947968318574e-07,-0.39489947968318573
14,0.01349896191999611,0.01349935338103924,-3.914610431303418e-07,-0.3914610431303418
15,0.013532296983335754,0.013532689206976865,-3.9222364111163267e-07,-0.39222364111163266
16,0.013565636200233705,0.013566025032914491,-3.8883268078659895e-07,-0.38883268078659894
17,0.013598972016102813,0.013599360858852116,-3.888427493037995e-07,-0.3888427493037995
18,0.01363230941085454,0.013632696684789742,-3.872739352026029e-07,-0.3872739352026029
19,0.0136656431266114,0.013666032510727368,-3.8938411596883783e-07,-0.3893841159688378
20,0.0136989794516485,0.013699368336664993,-3.888850164935477e-07,-0.3888850164935477
21,0.013732312886974348,0.013732704162602619,-3.912756282715281e-07,-0.39127562827152806
22,0.013765648990927692,0.013766039988540245,-3.9099761255344213e-07,-0.3909976125534421
23,0.013798982457706548,0.01379937581447787,-3.933567713228221e-07,-0.3933567713228221
24,0.01383231760159463,0.013832711640415496,-3.9403882086640153e-07,-0.3940388208664015
25,0.013865649104202288,0.01386604746635312,-3.9836215083299776e-07,-0.39836215083299775
26,0.013898984608969352,0.013899383292290747,-3.986833213953651e-07,-0.3986833213953651
27,0.013932316669212429,0.013932719118228373,-4.024490159449524e-07,-0.4024490159449524
28,0.013965653092956795,0.013966054944165997,-4.018512092033434e-07,-0.4018512092033434
29,0.013998984564490636,0.013999390770103624,-4.062056129888049e-07,-0.40620561298880487
30,0.014032320271017435,0.01403272659604125,-4.063250238155176e-07,-0.4063250238155176
31,0.01406565272482883,0.014066062421978874,-4.0969715004481e-07,-0.40969715004481
32,0.014098988640786687,0.0140993982479165,-4.096071298139571e-07,-0.4096071298139571
33,0.01413232251777126,0.014132734073854125,-4.115560828667204e-07,-0.4115560828667204
34,0.014165659091266705,0.014166069899791751,-4.1080852504725386e-07,-0.41080852504725385
35,0.014198992778443997,0.014199405725729378,-4.129472853810208e-07,-0.41294728538102077
36,0.014232329311450301,0.014232741551667002,-4.122402167013729e-07,-0.4122402167013729
37,0.014265662980349205,0.014266077377604628,-4.143972554243587e-07,-0.4143972554243587
38,0.014298999645193978,0.014299413203542253,-4.1355834827574945e-07,-0.41355834827574944
39,0.014332333081141865,0.01433274902947988,-4.159483380148511e-07,-0.4159483380148511
