edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ns
0,7.100220261438432e-05,7.100115458413321e-05,1.0480302511145705e-09,1.0480302511145705
1,7.103074072531033e-05,7.102972478829628e-05,1.0159370140568858e-09,1.0159370140568857
2,7.10592784463051e-05,7.105829499245933e-05,9.83453845774956e-10,0.983453845774956
3,7.108781964875515e-05,7.10868651966224e-05,9.54452132756534e-10,0.9544521327565341
4,7.111636363333764e-05,7.111543540078547e-05,9.282325521726995e-10,0.9282325521726995
5,7.114491000014008e-05,7.114400560494853e-05,9.04395191552692e-10,0.904395191552692
6,7.117345842125544e-05,7.117257580911159e-05,8.826121438563408e-10,0.8826121438563408
7,7.120200870320892e-05,7.120114601327466e-05,8.626899342630628e-10,0.8626899342630628
8,7.12305606495662e-05,7.122971621743773e-05,8.444321284733676e-10,0.8444321284733676
9,7.125911407916954e-05,7.12582864216008e-05,8.276575687454527e-10,0.8276575687454527
10,7.128766891237987e-05,7.128685662576385e-05,8.122866160251779e-10,0.8122866160251779
11,7.131622499811216e-05,7.131542682992692e-05,7.981681852490292e-10,0.7981681852490292
12,7.134478226197431e-05,7.134399703408998e-05,7.852278843321749e-10,0.7852278843321748
13,7.137334060521108e-05,7.137256723825305e-05,7.733669580285553e-10,0.7733669580285553
14,7.140189994152297e-05,7.140113744241611e-05,7.624991068674542e-10,0.7624991068674541
15,7.14304602047303e-05,7.142970764657918e-05,7.525581511347104e-10,0.7525581511347104
16,7.145902132375233e-05,7.145827785074224e-05,7.434730100886625e-10,0.7434730100886625
17,7.148758324255088e-05,7.14868480549053e-05,7.351876455880607e-10,0.7351876455880607
18,7.151614591076601e-05,7.151541825906837e-05,7.276516976481679e-10,0.727651697648168
19,7.15447092946626e-05,7.154398846323143e-05,7.208314311693096e-10,0.7208314311693096
20,7.157327330700574e-05,7.15725586673945e-05,7.146396112446875e-10,0.7146396112446874
21,7.16018379406242e-05,7.160112887155756e-05,7.090690666494246e-10,0.7090690666494246
22,7.163040313797717e-05,7.162969907572063e-05,7.040622565516127e-10,0.7040622565516127
23,7.16589688767515e-05,7.16582692798837e-05,6.995968678130441e-10,0.6995968678130441
24,7.16875351003582e-05,7.168683948404676e-05,6.956163114364502e-10,0.6956163114364502
25,7.171610180463512e-05,7.171540968820982e-05,6.921164253052162e-10,0.6921164253052162
26,7.17446689363274e-05,7.174397989237288e-05,6.890439545199367e-10,0.6890439545199367
27,7.177323646857216e-05,7.177255009653595e-05,6.863720362099599e-10,0.6863720362099599
28,7.180180439431578e-05,7.180112030069901e-05,6.840936167727921e-10,0.6840936167727921
29,7.183037268628496e-05,7.182969050486208e-05,6.82181422885944e-10,0.682181422885944
30,7.185894131264991e-05,7.185826070902514e-05,6.806036247724286e-10,0.6806036247724285
31,7.188751025674994e-05,7.188683091318821e-05,6.793435617278544e-10,0.6793435617278544
32,7.191607948825024e-05,7.191540111735127e-05,6.783708989816101e-10,0.6783708989816101
33,7.194464899556829e-05,7.194397132151434e-05,6.776740539612294e-10,0.6776740539612295
34,7.197321877147822e-05,7.19725415256774e-05,6.772458008251511e-10,0.6772458008251512
35,7.200178890799212e-05,7.200111172984047e-05,6.771781516511282e-10,0.6771781516511282
36,7.203032905413758e-05,7.202968193400353e-05,6.471201340527684e-10,0.6471201340527684
37,7.20588688461685e-05,7.20582521381666e-05,6.167080019031416e-10,0.6167080019031416
38,7.208741185742325e-05,7.208682234232966e-05,5.895150935912128e-10,0.5895150935912128
39,7.211595744345679e-05,7.211539254649273e-05,5.64896964061936e-10,0.564896964061936
40,7.214450519012233e-05,7.214396275065579e-05,5.424394665439639e-10,0.5424394665439639
41,7.217305482194215e-05,7.217253295481885e-05,5.218671233036814e-10,0.5218671233036813
42,7.22016060896475e-05,7.220110315898192e-05,5.029306655822427e-10,0.5029306655822428
43,7.223015887244049e-05,7.222967336314498e-05,4.85509295517375e-10,0.485509295517375
44,7.225871297126693e-05,7.225824356730804e-05,4.694039588892479e-10,0.4694039588892479
45,7.228726828918071e-05,7.228681377147111e-05,4.5451770960575696e-10,0.454517709605757
46,7.231582472179708e-05,7.231538397563418e-05,4.4074616290434963e-10,0.44074616290434965
47,7.23443821687423e-05,7.234395417979724e-05,4.279889450690682e-10,0.4279889450690682
48,7.237294057714569e-05,7.23725243839603e-05,4.1619318538754715e-10,0.4161931853875472
49,7.240149983639364e-05,7.240109458812337e-05,4.05248270274438e-10,0.40524827027443805
