period_number,period_s,period_error_s,period_error_ps
0,7.799344931163125e-09,-1.3145383153877752e-11,-13.145383153877752
1,7.802204730881124e-09,-1.0285583435878443e-11,-10.285583435878443
2,7.804492770444168e-09,-7.997543872834166e-12,-7.997543872834166
3,7.806517656006669e-09,-5.9726583103334564e-12,-5.972658310333457
4,7.807433850034323e-09,-5.056464282679159e-12,-5.056464282679158
5,7.808188720538536e-09,-4.301593778466663e-12,-4.301593778466663
6,7.808774092770451e-09,-3.716221546551238e-12,-3.716221546551238
7,7.809227357474867e-09,-3.2629568421356476e-12,-3.262956842135648
8,7.809609488406582e-09,-2.880825910420365e-12,-2.880825910420365
9,7.809953621657124e-09,-2.5366926598784757e-12,-2.536692659878476
10,7.810249900432834e-09,-2.24041388416817e-12,-2.24041388416817
11,7.810511458948566e-09,-1.9788553684365788e-12,-1.9788553684365788
12,7.810740631735542e-09,-1.7496825814608514e-12,-1.7496825814608514
13,7.810942878171828e-09,-1.5474361451741818e-12,-1.5474361451741818
14,7.811126640302774e-09,-1.3636740142282015e-12,-1.3636740142282016
15,7.811362101692743e-09,-1.1282126242590966e-12,-1.1282126242590966
16,7.811500235351443e-09,-9.900789655593157e-13,-0.9900789655593157
17,7.811632060810195e-09,-8.582535068071802e-13,-0.8582535068071802
18,7.811756771124428e-09,-7.335431925746165e-13,-0.7335431925746165
19,7.811862850061295e-09,-6.274642557074399e-13,-0.6274642557074399
20,7.811957381662266e-09,-5.329326547359016e-13,-0.5329326547359016
21,7.812138345562273e-09,-3.519687547294163e-13,-0.3519687547294163
22,7.81219515732243e-09,-2.9515699457204487e-13,-0.29515699457204486
23,7.812274550100047e-09,-2.1576421695513893e-13,-0.21576421695513892
24,7.81231916145513e-09,-1.7115286187200247e-13,-0.17115286187200246
25,7.812451593674076e-09,-3.872064292656253e-14,-0.03872064292656253
26,7.81251525311963e-09,2.4938802626955794e-14,0.024938802626955792
27,7.812553040601107e-09,6.272628410415858e-14,0.06272628410415858
28,7.812590526660827e-09,1.0021234382488325e-13,0.10021234382488324
29,7.8127019118051e-09,2.1159748809694833e-13,0.21159748809694834
30,7.812737072955891e-09,2.467586388891037e-13,0.2467586388891037
31,7.812763125886863e-09,2.728115698605342e-13,0.27281156986053423
32,7.81278045299612e-09,2.9013867911747553e-13,0.29013867911747554
33,7.812894211987496e-09,4.0389767049367047e-13,0.4038976704936705
34,7.812900235313323e-09,4.0992099632049516e-13,0.40992099632049517
35,7.812884372297127e-09,3.940579801247511e-13,0.39405798012475113
36,7.812978929281982e-09,4.886149649796527e-13,0.48861496497965273
37,7.81299950911973e-09,5.09194802726795e-13,0.509194802726795
38,7.81300568283795e-09,5.153685209474705e-13,0.5153685209474705
39,7.813017386570009e-09,5.270722530064899e-13,0.5270722530064899
40,7.81309242497486e-09,6.021106578582596e-13,0.6021106578582596
41,7.813067983629103e-09,5.776693121010658e-13,0.5776693121010658
42,7.81306311347426e-09,5.727991572574239e-13,0.5727991572574238
43,7.813159916221285e-09,6.696019042823033e-13,0.6696019042823033
44,7.813139600928868e-09,6.492866118652475e-13,0.6492866118652475
45,7.813107972135858e-09,6.176578188561043e-13,0.6176578188561043
46,7.813198412892955e-09,7.08098575953056e-13,0.708098575953056
47,7.813175777245259e-09,6.854629282565554e-13,0.6854629282565554
48,7.813143228059473e-09,6.52913742470662e-13,0.652913742470662
49,7.813223382895692e-09,7.330685786895537e-13,0.7330685786895537
50,7.813219905737352e-09,7.295914203496483e-13,0.7295914203496483
51,7.813170045624027e-09,6.797313070242379e-13,0.6797313070242379
52,7.813241982153568e-09,7.516678365655809e-13,0.7516678365655809
53,7.81324528085223e-09,7.549665352278952e-13,0.7549665352278951
54,7.813195663071643e-09,7.053487546405625e-13,0.7053487546405625
55,7.813247355798348e-09,7.570414813455979e-13,0.7570414813455979
56,7.813261011758391e-09,7.706974413889219e-13,0.7706974413889218
57,7.813223350017261e-09,7.330357002586731e-13,0.733035700258673
58,7.81324811201581e-09,7.577976988083794e-13,0.7577976988083794
59,7.813269054532737e-09,7.787402157347452e-13,0.7787402157347452
60,7.8132371507454e-09,7.468364283970781e-13,0.7468364283970781
61,7.813246193384541e-09,7.558790675388948e-13,0.7558790675388948
62,7.813278182457932e-09,7.87868140929955e-13,0.7878681409299549
63,7.813237734113931e-09,7.474197969285111e-13,0.7474197969285111
64,7.813219421912133e-09,7.291075951301766e-13,0.7291075951301766
65,7.813302041126337e-09,8.117268093346007e-13,0.8117268093346007
66,7.813245614366371e-09,7.553000493686789e-13,0.7553000493686789
67,7.813221413225605e-09,7.310989086027993e-13,0.7310989086027992
68,7.813300376523637e-09,8.100622066341294e-13,0.8100622066341294
69,7.813247897736804e-09,7.575834198015148e-13,0.7575834198015148
70,7.813212242528634e-09,7.21928211631885e-13,0.7219282116318849
71,7.813293755029919e-09,8.034407129162173e-13,0.8034407129162173
72,7.813249606520743e-09,7.592922037405149e-13,0.7592922037405149
73,7.813202205106894e-09,7.118907898917586e-13,0.7118907898917586
74,7.813289213754251e-09,7.988994372490717e-13,0.7988994372490716
75,7.81324427854798e-09,7.539642309770138e-13,0.7539642309770138
76,7.813186988912162e-09,6.966745951595922e-13,0.6966745951595922
77,7.813280280104533e-09,7.899657875306442e-13,0.7899657875306442
78,7.813242937931993e-09,7.526236149907355e-13,0.7526236149907355
79,7.813187536352944e-09,6.972220359415345e-13,0.6972220359415344
80,7.813263854902406e-09,7.735405854034121e-13,0.7735405854034121
81,7.813237493475259e-09,7.47179158256328e-13,0.747179158256328
82,7.813180237395499e-09,6.899230784961448e-13,0.6899230784961448
83,7.813249637217217e-09,7.593229002145234e-13,0.7593229002145234
84,7.813230550068363e-09,7.402357513608778e-13,0.7402357513608777
85,7.813172626702823e-09,6.823123858211112e-13,0.6823123858211112
86,7.813235956496706e-09,7.456421797040854e-13,0.7456421797040853
87,7.8132222076883e-09,7.318933712972152e-13,0.7318933712972152
88,7.813169783070918e-09,6.794687539156434e-13,0.6794687539156434
89,7.813216498117029e-09,7.261838000265807e-13,0.7261838000265807
90,7.813211860442236e-09,7.215461252337739e-13,0.7215461252337739
91,7.813171546715487e-09,6.812323984845713e-13,0.6812323984845713
92,7.813188515766976e-09,6.982014499740493e-13,0.6982014499740492
93,7.813209936932057e-09,7.196226150545131e-13,0.7196226150545131
94,7.813180724852795e-09,6.904105357928943e-13,0.6904105357928942
95,7.813138886805554e-09,6.485724885518128e-13,0.6485724885518128
96,7.813215659147835e-09,7.253448308329842e-13,0.7253448308329842
97,7.813169027761475e-09,6.787134444721814e-13,0.6787134444721814
98,7.813132617921488e-09,6.423036044854473e-13,0.6423036044854473
99,7.813201718530512e-09,7.114042135092742e-13,0.7114042135092742
100,7.81316486983259e-09,6.745555155881723e-13,0.6745555155881723
101,7.813113903318053e-09,6.235890010507948e-13,0.6235890010507948
102,7.813195132449547e-09,7.048181325448209e-13,0.704818132544821
103,7.813162230328849e-09,6.719160118467292e-13,0.6719160118467292
104,7.813117972166176e-09,6.276578491738071e-13,0.6276578491738071
105,7.813172470726788e-09,6.821564097860721e-13,0.6821564097860721
106,7.813149590117164e-09,6.592758001612255e-13,0.6592758001612254
107,7.813097020785897e-09,6.067064688946812e-13,0.6067064688946812
108,7.813158719262086e-09,6.684049450838793e-13,0.6684049450838793
109,7.813147243456429e-09,6.569291394265707e-13,0.6569291394265707
110,7.813105668124927e-09,6.153538079244096e-13,0.6153538079244096
111,7.813125215327867e-09,6.349010108648952e-13,0.6349010108648951
112,7.81314297487116e-09,6.526605541583323e-13,0.6526605541583324
113,7.813110391939582e-09,6.200776225798203e-13,0.6200776225798204
114,7.81309195041957e-09,6.016361025673627e-13,0.6016361025673627
115,7.813144394024042e-09,6.540797070394801e-13,0.65407970703948
116,7.81310884745293e-09,6.185331359275333e-13,0.6185331359275332
117,7.813062842084904e-09,5.725277679011236e-13,0.5725277679011236
118,7.813154494004247e-09,6.641796872449589e-13,0.6641796872449589
119,7.813097783359495e-09,6.074690424926989e-13,0.6074690424926988
120,7.813058366674518e-09,5.680523575159564e-13,0.5680523575159564
121,7.813122391862122e-09,6.320775451198356e-13,0.6320775451198356
122,7.813106659627814e-09,6.163453108111476e-13,0.6163453108111476
123,7.813053836146005e-09,5.635218290028456e-13,0.5635218290028455
124,7.813100648417946e-09,6.103341009436005e-13,0.6103341009436004
125,7.813106392941184e-09,6.160786241817705e-13,0.6160786241817705
126,7.81305739559529e-09,5.670812782876426e-13,0.5670812782876427
127,7.813068868107683e-09,5.785537906808523e-13,0.5785537906808523
128,7.799486272162901e-09,-1.3004042154101216e-11,-13.004042154101215
129,7.802426025868667e-09,-1.0064288448335468e-11,-10.064288448335468
130,7.804706485882744e-09,-7.78382843425882e-12,-7.783828434258821
131,7.806746199685334e-09,-5.744114631668314e-12,-5.744114631668314
132,7.807659795530902e-09,-4.83051878610016e-12,-4.830518786100161
133,7.808343955805993e-09,-4.1463585110092905e-12,-4.14635851100929
134,7.808960381187327e-09,-3.5299331296756762e-12,-3.529933129675676
