period_number,period_s,period_error_s,period_error_fs
0,3.927646630985117e-09,6.148584276164674e-12,6148.584276164674
1,3.922331750897973e-09,8.337041890207004e-13,833.7041890207005
2,3.921117778927607e-09,-3.802677813453799e-13,-380.2677813453799
3,3.920566234453995e-09,-9.318122549579537e-13,-931.8122549579538
4,3.9207672615016505e-09,-7.307852073021513e-13,-730.7852073021513
5,3.920774226213119e-09,-7.238204958340118e-13,-723.8204958340118
6,3.9207921601232265e-09,-7.058865857261847e-13,-705.8865857261846
7,3.920810250754758e-09,-6.877959541943248e-13,-687.7959541943247
8,3.920825384617888e-09,-6.726620910646315e-13,-672.6620910646316
9,3.920834356716126e-09,-6.636899928266622e-13,-663.6899928266622
10,3.920842031986593e-09,-6.5601472235973e-13,-656.0147223597301
11,3.9208501224929394e-09,-6.47924216013263e-13,-647.9242160132629
12,3.920855041843457e-09,-6.430048654960445e-13,-643.0048654960445
13,3.920865300090074e-09,-6.327466188784371e-13,-632.7466188784372
14,3.920904742863666e-09,-5.933038452869193e-13,-593.3038452869192
15,3.9209195778393616e-09,-5.78468869591126e-13,-578.468869591126
16,3.920920039682382e-09,-5.780070265707015e-13,-578.0070265707014
17,3.920918173106369e-09,-5.798736025833797e-13,-579.8736025833797
18,3.920918151652719e-09,-5.798950562338677e-13,-579.8950562338678
19,3.920930347504144e-09,-5.676992048087572e-13,-567.6992048087571
20,3.920932942311651e-09,-5.651043973018748e-13,-565.1043973018748
21,3.920935302335177e-09,-5.627443737754441e-13,-562.7443737754442
22,3.920938834232174e-09,-5.592124767783553e-13,-559.2124767783554
23,3.920939580569845e-09,-5.584661391078706e-13,-558.4661391078706
24,3.920954500858699e-09,-5.435458502536299e-13,-543.5458502536299
25,3.920983508660719e-09,-5.145380482338345e-13,-514.5380482338345
26,3.920999721792901e-09,-4.983249160515406e-13,-498.3249160515406
27,3.920989026924516e-09,-5.090197844365351e-13,-509.0197844365351
28,3.9209992635955105e-09,-4.987831134421601e-13,-498.78311344216013
29,3.920996510345409e-09,-5.015363635440241e-13,-501.53636354402414
30,3.921000746336849e-09,-4.973003721035961e-13,-497.3003721035961
31,3.921001355536497e-09,-4.966911724554037e-13,-496.69117245540366
32,3.921002918820505e-09,-4.951278884479511e-13,-495.12788844795114
33,3.92099396213149e-09,-5.04084577462544e-13,-504.08457746254396
34,3.921032166624228e-09,-4.658800847247489e-13,-465.88008472474894
35,3.9210470965082714e-09,-4.509502006812817e-13,-450.95020068128173
36,3.921061104969546e-09,-4.3694173940662844e-13,-436.9417394066284
37,3.921051122421988e-09,-4.469242869642999e-13,-446.92428696429994
38,3.921053689866943e-09,-4.443568420097456e-13,-444.3568420097456
39,3.9210562453585686e-09,-4.4180135038414297e-13,-441.80135038414295
40,3.921059579510642e-09,-4.384671983107884e-13,-438.4671983107884
41,3.9210593846795115e-09,-4.3866202944118403e-13,-438.662029441184
42,3.921055544448969e-09,-4.4250225998360053e-13,-442.50225998360054
43,3.9210538348518785e-09,-4.4421185707423e-13,-444.21185707423
44,3.92109084716946e-09,-4.0719953949277287e-13,-407.1995394927729
45,3.921122711993282e-09,-3.753347156706795e-13,-375.3347156706795
46,3.9211061314791936e-09,-3.919152297591201e-13,-391.9152297591201
47,3.921100337611204e-09,-3.977090977486654e-13,-397.7090977486654
48,3.921106508876417e-09,-3.9153783253540507e-13,-391.5378325354051
49,3.9211038864082025e-09,-3.94160300750213e-13,-394.160300750213
50,3.921107180065325e-09,-3.9086664362800077e-13,-390.86664362800076
51,3.921109473762783e-09,-3.885729461694719e-13,-388.5729461694719
52,3.921103445395416e-09,-3.9460131353639865e-13,-394.60131353639866
53,3.921130276458287e-09,-3.677702506657753e-13,-367.7702506657753
54,3.921162714581113e-09,-3.353321278399259e-13,-335.3321278399259
55,3.921158372541147e-09,-3.3967416780535014e-13,-339.6741678053501
56,3.9211444608178115e-09,-3.535858911411634e-13,-353.5858911411634
57,3.921151654323043e-09,-3.463923859095751e-13,-346.39238590957507
58,3.921149781404448e-09,-3.4826530450496234e-13,-348.26530450496233
59,3.921151789685684e-09,-3.462570232683403e-13,-346.2570232683403
