offset_frequency_hz,phase_noise_dbc_per_hz
5882.353046196042,-108.6873177414784
11764.706092392084,-112.30828547880934
17647.059138588127,-120.69106653047548
23529.412184784167,-120.17817353632255
29411.765230980207,-127.66138153253473
35294.118277176254,-113.2940086268171
41176.471323372294,-113.3670139982955
47058.824369568334,-106.55727848208801
52941.177415764374,-112.93407297880594
58823.530461960414,-110.34063093193028
64705.88350815646,-112.6898763823499
70588.23655435251,-109.69049303718954
76470.58960054854,-102.55133671222522
82352.94264674459,-100.10880521885039
88235.29569294062,-98.9798354104424
94117.64873913667,-101.82929681836825
100000.00178533272,-112.36605458868746
105882.35483152875,-128.21411842402418
111764.7078777248,-121.55567989857694
117647.06092392083,-118.83303019498837
123529.41397011688,-121.3199091677698
129411.76701631292,-110.93778535095291
135294.12006250897,-104.60210350591638
141176.47310870502,-105.83134748655186
147058.82615490103,-113.89795642190697
152941.17920109708,-119.22895339882342
158823.53224729313,-121.04122421422318
164705.88529348918,-117.34911267651864
170588.23833968522,-109.33331287600336
176470.59138588124,-105.29785172419881
182352.9444320773,-110.45958058041101
188235.29747827334,-112.00425265311878
194117.65052446938,-115.30800870377072
200000.00357066543,-106.51935247309868
205882.35661686145,-108.08762999838905
211764.7096630575,-112.64325001314971
217647.06270925354,-113.61173684169168
223529.4157554496,-114.24370447524082
229411.76880164564,-115.47626528907956
235294.12184784166,-114.68615974991174
241176.4748940377,-115.91580804607705
247058.82794023375,-115.994457990277
252941.1809864298,-115.74370983992792
258823.53403262584,-109.66867985428776
264705.8870788219,-106.126025322785
270588.24012501794,-112.88143276454295
276470.593171214,-106.17478101363902
282352.94621741003,-105.30447245908451
288235.299263606,-110.64271223253166
294117.65230980207,-116.4891956879465
300000.0053559981,-110.7689936669999
305882.35840219416,-110.48908078858659
311764.7114483902,-115.49370826485402
317647.06449458626,-125.46955373003264
323529.4175407823,-112.30034045483615
329411.77058697835,-111.33823504833711
335294.1236331744,-111.54017843069894
341176.47667937045,-118.64484795328211
347058.82972556644,-107.56573694744955
352941.1827717625,-109.76540054582759
358823.53581795853,-114.64558161180163
364705.8888641546,-113.41373980764628
370588.2419103506,-109.58086465903763
376470.5949565467,-113.25929616958055
382352.9480027427,-114.63723544930887
388235.30104893877,-113.81793086370334
394117.6540951348,-111.5338390172787
400000.00714133086,-109.19223744571065
405882.3601875269,-122.59821916788849
411764.7132337229,-119.68840185447874
417647.06627991894,-115.09600429728395
423529.419326115,-114.94127288114855
429411.77237231104,-128.58254752277787
435294.1254185071,-119.7110242829067
441176.47846470313,-115.13533690885973
447058.8315108992,-129.4224266380494
452941.1845570952,-134.97133462201847
458823.5376032913,-122.6261466458226
464705.8906494873,-130.65289678802247
470588.2436956833,-120.72119500619338
476470.59674187936,-115.52459018010825
482352.9497880754,-117.98226616536903
488235.30283427145,-123.72301580395323
494117.6558804675,-125.16679538457436
500000.00892666355,-114.76273849997973
505882.3619728596,-113.39244231636144
511764.71501905564,-125.23802977682632
517647.0680652517,-120.87136646338003
523529.42111144774,-123.44590974446218
529411.7741576438,-128.21392910061763
535294.1272038398,-127.51826774881506
541176.4802500359,-117.19543387661798
547058.8332962319,-114.23450762726685
552941.186342428,-118.91147220888955
558823.539388624,-135.83526230509423
564705.8924348201,-126.48467445590146
570588.245481016,-116.54970083168578
576470.598527212,-116.99599578039083
582352.9515734081,-119.08300760034143
588235.3046196041,-133.35606479092615
594117.6576658002,-120.03598728765033
600000.0107119962,-118.35451820001096
605882.3637581923,-115.06028033474456
611764.7168043883,-113.60006924590407
617647.0698505844,-115.30693252896137
623529.4228967804,-121.31965516320827
629411.7759429765,-119.0367471491021
635294.1289891725,-118.7190181952654
641176.4820353686,-113.83757416396585
647058.8350815646,-123.20223648850686
652941.1881277607,-115.25005054527485
658823.5411739567,-111.81220410992913
664705.8942201528,-116.96657908957272
670588.2472663488,-127.03128521899711
676470.6003125448,-123.90130190001807
682352.9533587409,-122.1815758971956
688235.306404937,-119.46089287540252
694117.6594511329,-158.85175058569683
700000.0124973289,-124.24323550766785
705882.365543525,-120.10907486384532
711764.718589721,-114.44641126199195
717647.0716359171,-115.7203071647828
723529.4246821131,-123.07127947308337
729411.7777283092,-122.88883085833895
735294.1307745052,-116.90492430377672
741176.4838207013,-116.41004360232685
747058.8368668973,-118.33036772790285
752941.1899130933,-123.85084858148309
758823.5429592894,-140.7043584829993
764705.8960054854,-118.311491141239
770588.2490516815,-114.66969053449407
776470.6020978775,-118.14654472716117
782352.9551440736,-120.02853684875888
788235.3081902696,-116.85672249064007
794117.6612364657,-118.02250437512004
800000.0142826617,-120.5397776867862
805882.3673288578,-115.2740475587133
811764.7203750538,-116.78549092308836
817647.0734212497,-120.93622394746208
823529.4264674458,-119.44474170428755
829411.7795136418,-116.64219109701429
835294.1325598379,-117.61943448609225
841176.4856060339,-116.24403318982104
847058.83865223,-117.80092252958286
852941.191698426,-129.4598749797747
858823.5447446221,-126.87181925023539
864705.8977908181,-118.39675654480376
870588.2508370142,-119.56539319028971
876470.6038832102,-126.58275500581284
882352.9569294063,-121.80353681240923
888235.3099756023,-124.47818619811072
894117.6630217984,-119.01733662617104
900000.0160679944,-116.89175161366447
905882.3691141905,-121.17420020761678
911764.7221603865,-144.41821411030548
917647.0752065826,-122.25600725108504
923529.4282527786,-118.12995316510165
929411.7812989746,-117.73749268815001
935294.1343451707,-119.76251142941584
941176.4873913666,-120.23217407347363
947058.8404375627,-121.20643054950433
952941.1934837587,-124.54461903873431
958823.5465299548,-125.63628710544378
964705.8995761508,-142.21303436914076
970588.2526223469,-117.37513428168003
976470.6056685429,-121.81152346009391
982352.958714739,-122.37184262905417
988235.311760935,-115.90585199112384
994117.664807131,-116.16045372250304
1000000.0178533271,-124.11900578289966
1005882.3708995231,-121.76726357541196
1011764.7239457192,-119.37120313258956
