edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ps
0,1.000328257027059e-05,1.0003271548003954e-05,1.1022266635710994e-11,11.022266635710993
1,1.0006612491845283e-05,1.0006604881277777e-05,7.61056750510696e-12,7.6105675051069595
2,1.00099458000742e-05,1.0009938214551598e-05,7.585522600941002e-12,7.585522600941002
3,1.0013278468943854e-05,1.0013271547825421e-05,6.921118432526399e-12,6.9211184325263995
4,1.001661177826595e-05,1.0016604881099243e-05,6.897166707388102e-12,6.897166707388102
5,1.0019945216700728e-05,1.0019938214373066e-05,7.0023276621342965e-12,7.002327662134297
6,1.002327874756215e-05,1.0023271547646887e-05,7.199915263051071e-12,7.199915263051071
7,1.002661237004551e-05,1.002660488092071e-05,7.489124800039414e-12,7.489124800039414
8,1.0029946067242208e-05,1.0029938214194532e-05,7.853047676045359e-12,7.853047676045359
9,1.0033279768906116e-05,1.0033271547468355e-05,8.221437761463476e-12,8.221437761463475
10,1.0036613556578431e-05,1.0036604880742176e-05,8.67583625505435e-12,8.67583625505435
11,1.0039947356377319e-05,1.0039938214015999e-05,9.142361319551512e-12,9.142361319551512
12,1.0043281130859323e-05,1.004327154728982e-05,9.583569502685552e-12,9.58356950268555
13,1.0046614967883418e-05,1.0046604880563643e-05,1.0087319774637002e-11,10.087319774637002
14,1.0049948775403946e-05,1.0049938213837466e-05,1.0561566479572762e-11,10.561566479572761
15,1.0053282542346045e-05,1.0053271547111288e-05,1.099523475657517e-11,10.995234756575169
16,1.0056616374428922e-05,1.005660488038511e-05,1.1494043811006836e-11,11.494043811006836
17,1.0059950167301006e-05,1.0059938213658932e-05,1.1953642073842446e-11,11.953642073842445
18,1.0063284053875428e-05,1.0063271546932755e-05,1.2506942672065442e-11,12.506942672065442
19,1.006661786266198e-05,1.0066604880206576e-05,1.2982455403266144e-11,12.982455403266144
20,1.0069951681036593e-05,1.00699382134804e-05,1.3467556193369993e-11,13.467556193369994
21,1.007328552262452e-05,1.007327154675422e-05,1.3975870299170041e-11,13.97587029917004
22,1.0076619302232619e-05,1.0076604880028044e-05,1.4422204574928999e-11,14.422204574929
23,1.0079953130887314e-05,1.0079938213301865e-05,1.4917585448159836e-11,14.917585448159835
24,1.0083286929661523e-05,1.0083271546575688e-05,1.5383085834877848e-11,15.383085834877848
25,1.0086620681941265e-05,1.008660487984951e-05,1.580209175472285e-11,15.80209175472285
26,1.008995451153216e-05,1.0089938213123332e-05,1.6298408826365232e-11,16.298408826365232
27,1.0093288257828815e-05,1.0093271546397155e-05,1.67114316595306e-11,16.7114316595306
28,1.0096622033229974e-05,1.0096604879670977e-05,1.7153558997079222e-11,17.153558997079223
29,1.0099955811131785e-05,1.00999382129448e-05,1.7598186984258242e-11,17.59818698425824
30,1.010328170290083e-05,1.0103271546218621e-05,1.0156682208321089e-11,10.156682208321088
31,1.0106611650069619e-05,1.0106604879492444e-05,6.7705771743290895e-12,6.770577174329089
32,1.0109944990861188e-05,1.0109938212766265e-05,6.778094922078821e-12,6.778094922078821
33,1.0113277692610663e-05,1.0113271546040089e-05,6.146570573678874e-12,6.146570573678875
34,1.0116611002862457e-05,1.011660487931391e-05,6.123548546821286e-12,6.123548546821286
35,1.0119944473557469e-05,1.0119938212587733e-05,6.260969735615945e-12,6.260969735615945
36,1.0123278018609278e-05,1.0123271545861554e-05,6.472747723543784e-12,6.472747723543784
37,1.012661166075776e-05,1.0126604879135377e-05,6.781622382317332e-12,6.781622382317332
38,1.0129945385401444e-05,1.0129938212409199e-05,7.172992244589628e-12,7.1729922445896275
39,1.013327909502006e-05,1.0133271545683022e-05,7.549337038338042e-12,7.549337038338042
40,1.0136612896284577e-05,1.0136604878956845e-05,8.017327732414168e-12,8.017327732414168
41,1.013994666953082e-05,1.0139938212230666e-05,8.45730015377047e-12,8.45730015377047
42,1.0143280466752073e-05,1.0143271545504489e-05,8.921247583506723e-12,8.921247583506723
43,1.0146614332109774e-05,1.014660487877831e-05,9.453331463297668e-12,9.453331463297667
44,1.0149948159558602e-05,1.0149938212052133e-05,9.947506468237541e-12,9.947506468237542
45,1.0153281917573024e-05,1.0153271545325955e-05,1.0372247068797865e-11,10.372247068797865
46,1.0156615777447313e-05,1.0156604878599778e-05,1.0898847535115093e-11,10.898847535115094
47,1.0159949585771474e-05,1.0159938211873599e-05,1.1373897874418021e-11,11.37389787441802
48,1.0163283458943989e-05,1.0163271545147422e-05,1.1913796566577695e-11,11.913796566577695
49,1.016661728924605e-05,1.0166604878421243e-05,1.2410824805388526e-11,12.410824805388526
50,1.0169951106066174e-05,1.0169938211695066e-05,1.2894371107075047e-11,12.894371107075047
51,1.0173284951409869e-05,1.017327154496889e-05,1.3406440978986077e-11,13.406440978986076
52,1.0176618752824894e-05,1.017660487824271e-05,1.38745821823466e-11,13.8745821823466
53,1.0179952573962321e-05,1.0179938211516534e-05,1.4362445787248354e-11,14.362445787248355
54,1.0183286388683067e-05,1.0183271544790355e-05,1.4843892710998842e-11,14.843892710998842
55,1.0186620142648352e-05,1.0186604878064178e-05,1.5264584173892836e-11,15.264584173892837
56,1.018995397464398e-05,1.0189938211338e-05,1.5763305980542803e-11,15.763305980542803
57,1.0193287727823125e-05,1.0193271544611822e-05,1.6183211301994056e-11,16.183211301994056
58,1.0196621501574123e-05,1.0196604877885644e-05,1.6623688478753956e-11,16.623688478753955
59,1.0199955287859596e-05,1.0199938211159467e-05,1.7076700128688422e-11,17.076700128688422
60,1.0203281169903909e-05,1.0203271544433288e-05,9.625470619999886e-12,9.625470619999886
61,1.0206611112375944e-05,1.0206604877707111e-05,6.234668832361074e-12,6.234668832361074
62,1.0209944457117155e-05,1.0209938210980933e-05,6.246136221899019e-12,6.246136221899019
63,1.0213277165011718e-05,1.0213271544254756e-05,5.620756962006131e-12,5.620756962006131
64,1.0216610472006764e-05,1.0216604877528577e-05,5.594478186639974e-12,5.594478186639973
65,1.0219943956637103e-05,1.02199382108024e-05,5.745834702190554e-12,5.745834702190554
66,1.0223277511174588e-05,1.0223271544076223e-05,5.967098364761074e-12,5.967098364761074
67,1.0226611140161269e-05,1.0226604877350044e-05,6.2628112242067915e-12,6.262811224206792
68,1.022994487422936e-05,1.0229938210623867e-05,6.663605491840561e-12,6.663605491840561
69,1.0233278589677044e-05,1.0233271543897689e-05,7.0457793545737424e-12,7.045779354573742
70,1.0236612356097185e-05,1.0236604877171512e-05,7.478925672933393e-12,7.478925672933394
71,1.0239946166388209e-05,1.0239938210445333e-05,7.955942875255889e-12,7.9559428752558885
72,1.024327993071461e-05,1.0243271543719156e-05,8.386995453530803e-12,8.386995453530803
73,1.0246613792084197e-05,1.0246604876992977e-05,8.91509121929707e-12,8.91509121929707
74,1.024994760246264e-05,1.02499382102668e-05,9.392195838807854e-12,9.392195838807854
75,1.0253281343696666e-05,1.0253271543540622e-05,9.80015604413891e-12,9.80015604413891
76,1.0256615200529657e-05,1.0256604876814445e-05,1.0323715211553967e-11,10.323715211553967
77,1.025994901347648e-05,1.0259938210088268e-05,1.0803388211143679e-11,10.803388211143679
78,1.0263282875514499e-05,1.0263271543362089e-05,1.133215240957214e-11,11.33215240957214
79,1.0266616704873242e-05,1.0266604876635912e-05,1.1828237329812471e-11,11.82823732981247
80,1.0269950501969544e-05,1.0269938209909733e-05,1.2292059810330543e-11,12.292059810330542
81,1.0273284375425146e-05,1.0273271543183556e-05,1.2832241589371518e-11,12.832241589371518
82,1.0276618162496085e-05,1.0276604876457378e-05,1.32860387065105e-11,13.286038706510501
83,1.0279951952324691e-05,1.02799382097312e-05,1.3742593490181134e-11,13.742593490181134
84,1.0283285771123004e-05,1.0283271543005022e-05,1.4228117981411793e-11,14.228117981411792
85,1.028661952927835e-05,1.0286604876278845e-05,1.4652999504537618e-11,14.652999504537618
86,1.0289953343842626e-05,1.0289938209552666e-05,1.513428995927989e-11,15.13428995927989
87,1.0293287102578693e-05,1.029327154282649e-05,1.5559752203112155e-11,15.559752203112156
88,1.0296620861365704e-05,1.0296604876100311e-05,1.5985265392588066e-11,15.985265392588065
89,1.0299954656490967e-05,1.0299938209374134e-05,1.6447116832520074e-11,16.447116832520074
90,1.0303280527414252e-05,1.0303271542647955e-05,8.98476629623012e-12,8.98476629623012
91,1.0306610461037991e-05,1.0306604875921778e-05,5.58511621268891e-12,5.58511621268891
92,1.0309943805616464e-05,1.0309938209195601e-05,5.596420861786699e-12,5.596420861786699
93,1.0313276519309496e-05,1.0313271542469423e-05,4.976840072660392e-12,4.976840072660392
94,1.0316609801954288e-05,1.0316604875743246e-05,4.926211041460189e-12,4.9262110414601885
95,1.0319943289048533e-05,1.0319938209017067e-05,5.080031465740049e-12,5.080031465740049
96,1.0323276847032704e-05,1.032327154229089e-05,5.304741813793163e-12,5.3047418137931635
97,1.0326610450625564e-05,1.0326604875564711e-05,5.575060852485027e-12,5.575060852485027
98,1.0329944198037846e-05,1.0329938208838534e-05,5.989199311051159e-12,5.989199311051159
99,1.033327790957912e-05,1.0333271542112356e-05,6.367466764557755e-12,6.367466764557754
100,1.03366116562314e-05,1.0336604875386179e-05,6.7808452211178966e-12,6.780845221117897
101,1.0339945461241751e-05,1.033993820866e-05,7.252581750690731e-12,7.252581750690731
102,1.0343279227548897e-05,1.0343271541933823e-05,7.685615073161153e-12,7.685615073161153
103,1.0346613071204426e-05,1.0346604875207646e-05,8.195996779609184e-12,8.195996779609185
104,1.034994689813433e-05,1.0349938208481467e-05,8.689652861672384e-12,8.689652861672384
105,1.0353280656982317e-05,1.035327154175529e-05,9.115227025662035e-12,9.115227025662035
106,1.035661452614343e-05,1.0356604875029112e-05,9.651114317167246e-12,9.651114317167245
107,1.0359948332069792e-05,1.0359938208302935e-05,1.0123766856968361e-11,10.123766856968361
